X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-8523798.5701,4763271.1896,1973,3223 East Pratt Street,Baltimore,MD,21224,30.072,PreK-8,Baltimore City,Highlandtown Elementary/Middle School #  215,PreK-8
-8523206.6837,4763207.9234,1974,231 South Eaton Street,Baltimore,MD,21224,30.098,PreK-8,Baltimore City,Highlandtown Elementary/Middle School # 237,PreK-8
-8543483.6171,4760366.9982,1975,1500 Frederick Road,Baltimore,MD,21228,3.024,Elementary,Baltimore,Hillcrest Elementary School,K-5
-8621767.5815,4780693.4246,1976,1285 Hillcrest Drive,Frederick,MD,21702,10.039,Elementary,Frederick,Hillcrest Elementary School,PreK-5
-8567130.7873,4697405.8576,1977,4305 22nd Place,Temple Hills,MD,20748,16.175,Elementary,Prince George's,Hillcrest Heights Elementary School,PreK-5
-8514516.0314,4713250.0724,1978,3052 Arundel On The Bay Road,Annapolis,MD,21403,2.084,Elementary,Anne Arundel,Hillsmere Elementary School,PreK-5
-8531014.5593,4748974.93,1979,415 Melrose Avenue,Glen Burnie,MD,21061,2.088,Elementary,Anne Arundel,Hilltop Elementary School,PreK-5
-8535293.7301,4767493.4527,1980,3301 Carlisle Avenue,Baltimore,MD,21216,30.254,Elementary,Baltimore City,Hilton Elementary School # 021,PreK-5
-8517819.6992,4761410.1073,1981,1701 Delvale Avenue,Baltimore,MD,21222,3.047,Elementary/Middle,Baltimore,Holabird Middle School,4-8
-8520242.0041,4761270.456,1982,1500 Imla Street,Baltimore,MD,21224,30.24,PreK-8,Baltimore City,Holabird Elementary/Middle School # 229,PreK-8
-8551330.5897,4765089.8907,1983,8701 Stonehouse Drive,Ellicott City,MD,21043,13.067,Elementary,Howard,Hollifield Station Elementary School,PreK-5
-8440440.0694,4806920.7381,1984,233 White Hall Road,Elkton,MD,21921,7.037,Elementary,Cecil,Holly Hall Elementary School,PreK-5
-8563030.6612,4723858.6467,1985,9811 49th Avenue,College Park,MD,20740,16.068,Elementary,Prince George's,Hollywood Elementary School,PreK-5
-8520528.9703,4627314.2277,1986,44345 Joy Chapel Road,Hollywood,MD,20636,18.026,Elementary,St. Mary's,Hollywood Elementary School,PreK-5
-8498280.0264,4797161.4677,1987,900 South Main Street,Bel Air,MD,21014,12.022,Elementary,Harford,Homestead/Wakefield Elementary School,PreK-5
-8559540.5346,4755545.2962,1988,10914 Route 108,Ellicott City,MD,21042,0.003,Alternate,Howard,Homewood Center,6-12
-8591396.5506,4727978.8985,1989,8810 Post Oak Road,Rockville,MD,20854,15.241,Middle,Montgomery,Hoover (Herbert) Middle School,6-8
-8553706.5376,4720292.7894,1990,9601 Greenbelt Road,Lanham,MD,20706,16.034,Science,Prince George's,Howard B. Owens Science Center,N/A
-8550751.4083,4754154.3914,1991,8700 Old Annapolis Road,Ellicott City,MD,21043,13.012,High,Howard,Howard High School,9-12
-8528494.7437,4667287.7189,1992,4105 Old Town Road,Huntingtown,MD,20639,4.027,Special Education,Calvert,Hunting Creek Alternative,Infant-5
-8530122.5595,4667660.7292,1993,4345 Huntingtown Road,Huntingtown,MD,20639,4.01,Elementary,Calvert,Huntingtown Elementary School,K-5
-8528136.3955,4667292.9972,1994,4125 North Solomons Island Road,Huntingtown,MD,20639,4.026,High,Calvert,Huntingtown High School,9-12
-8445097.4946,4668780.6331,1995,301 Charles Street,Hurlock,MD,21643,9.014,Elementary,Dorchester,Hurlock Elementary School,PreK-5
-8565211.038,4715147.202,1996,5311 43rd Avenue,Hyattsville,MD,20781,16.08,Elementary,Prince George's,Hyattsville Elementary School,PreK-5
-8565483.1175,4715972.7809,1997,6001 42nd Avenue,Hyattsville,MD,20781,16.178,Middle,Prince George's,Hyattsville Middle School,6-8
-8546432.5111,4754831.1761,1998,4981 Ilchester Road,Ellicott City,MD,21043,13.057,Elementary,Howard,Ilchester Elementary School,PreK-5
-8558925.8369,4697213.5524,1999,6900 Ames Street,Suitland,MD,20746,16.149,Elementary/Middle,Prince George's,Imagine Foundations at Morningside Public Charter School,K-7
-8590174.934,4664600.6624,2000,4200 Indian Head Highway,Indian Head,MD,20640,8.008,Elementary,Charles,Indian Head Elementary School,PreK-5
-8573340.1837,4687093.1865,2001,9551 Fort Foote Road,Fort Washington,MD,20744,16.055,Elementary,Prince George's,Indian Queen Elementary School,PreK-6
-8566220.8286,4688738.4795,2002,8700 Allentown Road,Fort Washington,MD,20744,16.121,Middle,Prince George's,Isaac J. Gourdine Middle School,6-8
-8516004.2331,4719113.4923,2003,245 Clay Street,Annapolis,MD,21401,2.11,Alternate,Anne Arundel,Mary Moss at J. Albert Adams Academy,6-9
-8567243.0713,4694470.2244,2004,2700 Corning Avenue,Fort Washington,MD,20744,16.165,Elementary,Prince George's,J. Frank Dent Elementary School,PreK-6
-8579947.3711,4666636.3629,2005,3505 Livingston Road,Indian Head,MD,20640,8.03,Elementary,Charles,J.C. Parks Elementary School,PreK-5
-8414700.5012,4628537.0206,2006,300 East College Avenue,Salisbury,MD,21804,22.008,High,Wicomico,J.M. Bennett High School,9-12
-8429183.263,4593951.5298,2007,7982 Tawes Campus Drive,Westover,MD,21871,19.003,CareerTech,Somerset,J.M. Tawes Technology & Career Center,8-12
-8559301.4092,4667693.2267,2008,12140 Vivian Adams Drive,Waldorf,MD,20601,8.038,Elementary,Charles,J.P. Ryon Elementary School,PreK-5
-8570668.5611,4729765.9479,2009,900 Jackson Road,Silver Spring,MD,20904,15.058,Elementary,Montgomery,Jackson Road Elementary School,PreK-5
-8522584.8496,4795327.5859,2010,3400 Hillendale Heights Road,Phoenix,MD,21131,3.074,Elementary,Baltimore,Jacksonville Elementary School,K-5
-8518674.127,4739250.4411,2011,3801 Mountain Road,Pasadena,MD,21122,2.091,Elementary,Anne Arundel,Jacobsville Elementary School,K-5
-8564643.1851,4727736.2729,2012,11201 Evans Trail,Beltsville,MD,20705,16.042,Special Education,Prince George's,James E. Duckworth Regional School,K-12
-8556285.5881,4732017.9932,2013,13200 Larchdale Road,Laurel,MD,20708,16.113,Elementary,Prince George's,James H. Harrison Elementary School,PreK-6
-8553850.4423,4691465.4292,2014,7300 Woodyard Road,Upper Marlboro,MD,20772,16.114,Middle,Prince George's,James Madison Middle School,6-8
-8530810.7591,4763028.1751,2015,31 South Schroeder Street,Baltimore,MD,21223,30.197,PreK-8,Baltimore City,James McHenry Building # 010,PreK-8
-8555052.137,4715771.0425,2016,8909 McHenry Lane,Lanham,MD,20706,16.154,Elementary,Prince George's,James McHenry Elementary School,PreK-5
-8533279.3221,4764709.4412,2017,2400 Mosher Street,Baltimore,MD,21216,30.252,Elementary,Baltimore City,James Mosher Elementary School # 144,PreK-5
-8562015.3575,4690601.7225,2018,5410 Kirby Road,Clinton,MD,20735,16.084,Elementary,Prince George's,James Ryder Randall Elementary School,PreK-5
-8514426.2746,4808338.0244,2019,3818 Norrisville Road,Jarrettsville,MD,21084,12.017,Elementary,Harford,Jarrettsville Elementary School,K-5
-8552331.7545,4751300.111,2020,6000 Tamar Drive,Columbia,MD,21045,13.014,Elementary,Howard,Jeffers Hill Elementary School,K-5
-8545764.5359,4742513.4748,2021,2900 Elementary School Lane,Jessup,MD,20794,2.016,Elementary,Anne Arundel,Jessup Elementary School,PreK-5
-8492261.1819,4802002.4907,2022,100 Thomas Run Road,Bel Air,MD,21015,12.025,Special Education,Harford,John Archer Special Education,PreK-12
-8530668.1507,4766424.1679,2023,2011 Linden Avenue,Baltimore,MD,21217,30.034,Elementary,Baltimore City,Dorothy I. Height Elementary School # 061                          ,PreK-5
-8558799.7736,4703402.5886,2024,7010 Walker Mill Road,Capitol Heights,MD,20743,16.126,Elementary,Prince George's,John H. Bayne Elementary School,PreK-5
-8559153.1769,4667986.5862,2025,3165 John Hanson Drive,Waldorf,MD,20601,8.003,Middle,Charles,John Hanson Middle School,6-8
-8570803.6625,4693446.4198,2026,6360 Oxon Hill Road,Oxon Hill,MD,20745,16.128,PreK-8,Prince George's,John Hanson Montessori School,PreK-8
-8768156.4034,4811680.4435,2027,120 Mary Street,Cumberland,MD,21502,1.004,Elementary,Allegany,John Humbird Elementary School,PreK-5
-8521766.5122,4762482.7567,2028,701 South Rappolla Street,Baltimore,MD,21224,30.086,PreK-8,Baltimore City,John Ruhrah Elementary/Middle School #228,PreK-8
-8542184.6896,4763650.3673,2029,5910 Craigmont Road,Baltimore,MD,21228,3.103,Elementary,Baltimore,Johnnycake Elementary School,PreK-5
-8527561.7024,4765252.6186,2030,1101 Valley Street,Baltimore,MD,21202,30.234,Elementary,Baltimore City,Johnston Square Elementary School # 016,PreK-5
-8519953.7315,4729995.3437,2031,122 Hoyle Lane,Severna Park,MD,21146,2.094,Elementary,Anne Arundel,Jones Elementary School,K-5
-8601298.6825,4736546.3149,2032,15110 Jones Lane,Gaithersburg,MD,20878,15.15,Elementary,Montgomery,Jones Lane Elementary School,K-5
-8511006.2236,4777252.0996,2033,8727 Honeygo Boulevard,Perry Hall,MD,21128,3.112,Elementary,Baltimore,Joppa View Elementary School,PreK-5
-8500641.3896,4782269.262,2034,407 Trimble Road,Joppa,MD,21085,12.04,Elementary,Harford,Joppatowne Elementary School,PreK-5
-8499460.6261,4781161.8962,2035,555 Joppa Farm Road,Joppa,MD,21085,12.046,High,Harford,Joppatowne High School,9-12
-8557405.6256,4712014.0839,2037,3000 Church Street,Glenarden,MD,20706,16.19,Elementary,Prince George's,"Judge Sylvania W. Woods, Sr. Elementary School",PreK-6
-8559134.6069,4707881.3739,2038,929 Hill Road,Landover,MD,20785,16.022,PreK-8,Prince George's,Judith P. Hoyer Montessori School,PreK-7
-8470129.9199,4661655.2493,2039,1405 Glasgow Road,Cambridge,MD,21613,9.017,Elementary,Dorchester,Judy Hoyer Center,PreK
-8573486.5827,4728024.0516,2040,411 Sisson Street,Silver Spring,MD,20902,15.227,Elementary,Montgomery,Kemp Mill Elementary School,PreK-5
-8597914.4133,4769591.1847,2041,3456 Kemptown Church Road,Monrovia,MD,21770,10.032,Elementary,Frederick,Kemptown Elementary School,K-5
