the_geom,OBJECTID,BLDG_NUM,PRG_NUM,NAME,ADDRESS,CLASS,GRADES,ZIPCODE,TYPE
POINT (-76.610154578521 39.35762679515),"1,061",373,373,Tunbridge Public Charter School,5504 York Road,PK - 8,PK - 8,21212,Charter
POINT (-76.634535156655 39.357659528665),"1,050",233,233,Roland Park Elementary/Middle,5207 Roland Avenue,PK - 8,PK - 8,21210,Traditional
POINT (-76.640464576053 39.306291865016),979,157,28,William Pinderhughes Elementary/Middle,701 Gold Street,PK - 8,PK - 8,21217,Traditional
POINT (-76.564839540402 39.289005000008),"1,002",237,237,Highlandtown Elementary/Middle #237,231 S Eaton Street,PK - 8,PK - 8,21224,Traditional
POINT (-76.678196853755 39.336509432105),937,251,251,Callaway Elementary,3701 Fernhill Avenue,PK - 5,PK - 5,21215,Traditional
POINT (-76.630206711716 39.299560395193),976,125,125,Furman Templeton Preparatory Academy,1200 Pennsylvania Avenue,PK - 5,PK - 5,21217,Charter
POINT (-76.598593954486 39.295488265808),"1,045",414,414,Paul Laurence Dunbar High,1400 Orleans Street,9 - 12,9 - 12,21231,Traditional
POINT (-76.58989459978 39.287971495519),"1,074",23,23,Wolfe Street Academy,245 S Wolfe Street,PK - 5,PK - 5,21231,Charter
POINT (-76.664280715545 39.317838879691),"1,068",79,325,ConneXions: A Community Based Arts School,2801 N Dukeland Street,6 - 12,6 - 12,21216,Charter
POINT (-76.663770127505 39.31785289854),"1,077",79,362,Bard Early College High School Baltimore,2801 N Dukeland Street,9 - 12,9 - 12,21216,Contract
POINT (-76.623701819362 39.248104435877),942,159,159,Cherry Hill Elementary/Middle,801 Bridgeview Road,PK - 8,PK - 8,21225,Traditional
POINT (-76.642975407121 39.305584720466),"1,036",322,322,New Song Academy,1530 Presstman Street,PK - 8,PK - 8,21217,New Schools Initiative
POINT (-76.576175169161 39.286103582798),997,47,47,Hampstead Hill Academy,500 S Linwood Avenue,PK - 8,PK - 8,21224,Charter
POINT (-76.57980812032 39.295337121909),"1,069",83,83,William Paca Elementary,200 N Lakewood Avenue,PK - 5,PK - 5,21224,Traditional
POINT (-76.592883867589 39.226153369085),951,207,207,Curtis Bay Elementary/Middle,4301 W Bay Avenue,PK - 8,PK - 8,21225,Traditional
POINT (-76.624168992617 39.309023266381),"1,032",66,66,Mount Royal Elementary/Middle,121 McMechen Street,K - 8,K - 8,21217,Traditional
POINT (-76.671848474299 39.288011260316),985,377,377,Green Street Academy,125 N Hilton St,6 - 12,6 - 12,21229,Charter
POINT (-76.555329922548 39.349952609096),988,41,376,City Neighbors High,5609 Sefton Avenue,9 - 12,9 - 12,21214,Charter
